,filename,folder,typeset,scene,objectIsPart,objectPresence,_seg.png,_parts_1.png,_parts_2.png,_parts_3.png
0,['ADE_train_00000001.jpg'],['ADE20K_2016_07_26/images/training/a/airport_terminal'],1,['airport_terminal'],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],True,False,False,False
1,['ADE_train_00000002.jpg'],['ADE20K_2016_07_26/images/training/a/airport_terminal'],1,['airport_terminal'],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],True,True,True,False
2,['ADE_train_00000003.jpg'],['ADE20K_2016_07_26/images/training/a/art_gallery'],1,['art_gallery'],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],True,True,True,False
3,['ADE_train_00000004.jpg'],['ADE20K_2016_07_26/images/training/b/badlands'],1,['badlands'],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],True,False,False,False
4,['ADE_train_00000005.jpg'],['ADE20K_2016_07_26/images/training/b/ball_pit'],1,['ball_pit'],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],True,True,False,False
5,['ADE_train_00000006.jpg'],['ADE20K_2016_07_26/images/training/b/bathroom'],1,['bathroom'],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],True,True,False,False
6,['ADE_train_00000007.jpg'],['ADE20K_2016_07_26/images/training/b/bathroom'],1,['bathroom'],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],True,True,True,False
7,['ADE_train_00000008.jpg'],['ADE20K_2016_07_26/images/training/b/bathroom'],1,['bathroom'],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],True,False,False,False
8,['ADE_train_00000009.jpg'],['ADE20K_2016_07_26/images/training/b/bathroom'],1,['bathroom'],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],True,True,False,False
9,['ADE_train_00000010.jpg'],['ADE20K_2016_07_26/images/training/b/bathroom'],1,['bathroom'],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],True,True,False,False
10,['ADE_train_00000011.jpg'],['ADE20K_2016_07_26/images/training/b/bathroom'],1,['bathroom'],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],True,False,False,False
11,['ADE_train_00000012.jpg'],['ADE20K_2016_07_26/images/training/b/bathroom'],1,['bathroom'],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],True,True,True,False
12,['ADE_train_00000013.jpg'],['ADE20K_2016_07_26/images/training/b/bathroom'],1,['bathroom'],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],True,True,False,False
13,['ADE_train_00000014.jpg'],['ADE20K_2016_07_26/images/training/b/bathroom'],1,['bathroom'],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],True,True,False,False
14,['ADE_train_00000015.jpg'],['ADE20K_2016_07_26/images/training/b/bathroom'],1,['bathroom'],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],True,True,False,False
15,['ADE_train_00000016.jpg'],['ADE20K_2016_07_26/images/training/b/bathroom'],1,['bathroom'],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],True,True,False,False
16,['ADE_train_00000017.jpg'],['ADE20K_2016_07_26/images/training/b/bathroom'],1,['bathroom'],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],True,True,True,False
17,['ADE_train_00000018.jpg'],['ADE20K_2016_07_26/images/training/b/bathroom'],1,['bathroom'],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],True,True,True,False
18,['ADE_train_00000019.jpg'],['ADE20K_2016_07_26/images/training/b/bathroom'],1,['bathroom'],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],True,True,False,False
19,['ADE_train_00000020.jpg'],['ADE20K_2016_07_26/images/training/b/bathroom'],1,['bathroom'],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],True,True,False,False
20,['ADE_train_00000021.jpg'],['ADE20K_2016_07_26/images/training/b/bathroom'],1,['bathroom'],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],True,True,False,False
21,['ADE_train_00000022.jpg'],['ADE20K_2016_07_26/images/training/b/bathroom'],1,['bathroom'],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],True,True,True,False
22,['ADE_train_00000023.jpg'],['ADE20K_2016_07_26/images/training/b/bathroom'],1,['bathroom'],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],True,True,True,False
23,['ADE_train_00000024.jpg'],['ADE20K_2016_07_26/images/training/b/bathroom'],1,['bathroom'],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],True,True,False,False
24,['ADE_train_00000025.jpg'],['ADE20K_2016_07_26/images/training/b/bathroom'],1,['bathroom'],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],True,True,False,False
25,['ADE_train_00000026.jpg'],['ADE20K_2016_07_26/images/training/b/bathroom'],1,['bathroom'],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],True,True,False,False
26,['ADE_train_00000027.jpg'],['ADE20K_2016_07_26/images/training/b/bathroom'],1,['bathroom'],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],True,True,False,False
27,['ADE_train_00000028.jpg'],['ADE20K_2016_07_26/images/training/b/bathroom'],1,['bathroom'],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],True,True,False,False
28,['ADE_train_00000029.jpg'],['ADE20K_2016_07_26/images/training/b/bathroom'],1,['bathroom'],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],True,True,False,False
29,['ADE_train_00000030.jpg'],['ADE20K_2016_07_26/images/training/b/bathroom'],1,['bathroom'],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],True,True,False,False
30,['ADE_train_00000031.jpg'],['ADE20K_2016_07_26/images/training/b/bathroom'],1,['bathroom'],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],True,False,False,False
