,objectIsPart,objectPresence,objectcounts,objectnames,proportionClassIsPart,wordnet_found,wordnet_level1,wordnet_synset,wordnet_hypernym,wordnet_gloss,wordnet_synonyms,wordnet_frequency
0,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],1.0,['-'],0.0,0,[],[],[],[],[],0
1,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],0.0,['aarm panel'],0.0,1,['arm'],"['arm. armrest. rest. support. device. instrumentality, instrumentation. artifact, artefact. whole, unit. object, physical object. physical entity. entity. ']","[[array(['arm'], dtype='<U3')]
 [array(['armrest'], dtype='<U7')]
 [array(['rest'], dtype='<U4')]
 [array(['support'], dtype='<U7')]
 [array(['device'], dtype='<U6')]
 [array(['instrumentality, instrumentation'], dtype='<U32')]
 [array(['artifact, artefact'], dtype='<U18')]
 [array(['whole, unit'], dtype='<U11')]
 [array(['object, physical object'], dtype='<U23')]
 [array(['physical entity'], dtype='<U15')]
 [array(['entity'], dtype='<U6')]]",['the part of an armchair or sofa that supports the elbow and forearm of a seated person'],['arm'],1
2,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],1.0,['abacus'],0.0,1,['abacus'],"['abacus. calculator, calculating machine. machine. device. instrumentality, instrumentation. artifact, artefact. whole, unit. object, physical object. physical entity. entity. ']","[[array(['abacus'], dtype='<U6')]
 [array(['calculator, calculating machine'], dtype='<U31')]
 [array(['machine'], dtype='<U7')]
 [array(['device'], dtype='<U6')]
 [array(['instrumentality, instrumentation'], dtype='<U32')]
 [array(['artifact, artefact'], dtype='<U18')]
 [array(['whole, unit'], dtype='<U11')]
 [array(['object, physical object'], dtype='<U23')]
 [array(['physical entity'], dtype='<U15')]
 [array(['entity'], dtype='<U6')]]",['a calculator that performs arithmetic functions by manually sliding counters on rods or in grooves'],['abacus'],0
3,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],1.0,"['accordion, piano accordion, squeeze box']",0.0,1,"['accordion, piano accordion, squeeze box']","['accordion, piano accordion, squeeze box. free-reed instrument. wind instrument, wind. musical instrument, instrument. device. instrumentality, instrumentation. artifact, artefact. whole, unit. object, physical object. physical entity. entity. ']","[[array(['accordion, piano accordion, squeeze box'], dtype='<U39')]
 [array(['free-reed instrument'], dtype='<U20')]
 [array(['wind instrument, wind'], dtype='<U21')]
 [array(['musical instrument, instrument'], dtype='<U30')]
 [array(['device'], dtype='<U6')]
 [array(['instrumentality, instrumentation'], dtype='<U32')]
 [array(['artifact, artefact'], dtype='<U18')]
 [array(['whole, unit'], dtype='<U11')]
 [array(['object, physical object'], dtype='<U23')]
 [array(['physical entity'], dtype='<U15')]
 [array(['entity'], dtype='<U6')]]",['a portable box-shaped free-reed instrument; the reeds are made to vibrate by air from the bellows controlled by the player'],"['accordion, piano accordion, squeeze box']",0
4,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],11.0,['acropolis'],0.0,1,['acropolis'],"['acropolis. bastion, citadel. stronghold, fastness. defensive structure, defense, defence. structure, construction. artifact, artefact. whole, unit. object, physical object. physical entity. entity. ']","[[array(['acropolis'], dtype='<U9')]
 [array(['bastion, citadel'], dtype='<U16')]
 [array(['stronghold, fastness'], dtype='<U20')]
 [array(['defensive structure, defense, defence'], dtype='<U37')]
 [array(['structure, construction'], dtype='<U23')]
 [array(['artifact, artefact'], dtype='<U18')]
 [array(['whole, unit'], dtype='<U11')]
 [array(['object, physical object'], dtype='<U23')]
 [array(['physical entity'], dtype='<U15')]
 [array(['entity'], dtype='<U6')]]",['the citadel in ancient Greek towns'],['acropolis'],0
5,[0. 0. 0. ... 0. 0. 0.],[0. 1. 0. ... 0. 0. 0.],71.0,"['ad, advertisement, advertizement, advertising, advertizing, advert']",0.0,1,"['ad, advertisement, advertizement, advertising, advertizing, advert']","['ad, advertisement, advertizement, advertising, advertizing, advert. promotion, publicity, promotional material, packaging. message, content, subject matter, substance. communication. abstraction, abstract entity. entity. ']","[[array(['ad, advertisement, advertizement, advertising, advertizing, advert'],
      dtype='<U66')]
 [array(['promotion, publicity, promotional material, packaging'],
      dtype='<U53')]
 [array(['message, content, subject matter, substance'], dtype='<U43')]
 [array(['communication'], dtype='<U13')]
 [array(['abstraction, abstract entity'], dtype='<U28')]
 [array(['entity'], dtype='<U6')]]",['a public promotion of some product or service'],"['ad, advertisement, advertizement, advertising, advertizing, advert']",2
6,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],0.0,['adding machine'],0.0,1,"['adding machine, totalizer, totaliser']","['adding machine, totalizer, totaliser. calculator, calculating machine. machine. device. instrumentality, instrumentation. artifact, artefact. whole, unit. object, physical object. physical entity. entity. ']","[[array(['adding machine, totalizer, totaliser'], dtype='<U36')]
 [array(['calculator, calculating machine'], dtype='<U31')]
 [array(['machine'], dtype='<U7')]
 [array(['device'], dtype='<U6')]
 [array(['instrumentality, instrumentation'], dtype='<U32')]
 [array(['artifact, artefact'], dtype='<U18')]
 [array(['whole, unit'], dtype='<U11')]
 [array(['object, physical object'], dtype='<U23')]
 [array(['physical entity'], dtype='<U15')]
 [array(['entity'], dtype='<U6')]]",['a calculator that performs simple arithmetic functions'],"['adding machine, totalizer, totaliser']",0
7,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],0.0,['advertisement board'],0.0,1,"['ad, advertisement, advertizement, advertising, advertizing, advert']","['ad, advertisement, advertizement, advertising, advertizing, advert. promotion, publicity, promotional material, packaging. message, content, subject matter, substance. communication. abstraction, abstract entity. entity. ']","[[array(['ad, advertisement, advertizement, advertising, advertizing, advert'],
      dtype='<U66')]
 [array(['promotion, publicity, promotional material, packaging'],
      dtype='<U53')]
 [array(['message, content, subject matter, substance'], dtype='<U43')]
 [array(['communication'], dtype='<U13')]
 [array(['abstraction, abstract entity'], dtype='<U28')]
 [array(['entity'], dtype='<U6')]]",['a public promotion of some product or service'],"['ad, advertisement, advertizement, advertising, advertizing, advert']",2
8,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],1.0,['aerial'],1.0,1,"['antenna, aerial, transmitting aerial']","['antenna, aerial, transmitting aerial. electrical device. device. instrumentality, instrumentation. artifact, artefact. whole, unit. object, physical object. physical entity. entity. ']","[[array(['antenna, aerial, transmitting aerial'], dtype='<U36')]
 [array(['electrical device'], dtype='<U17')]
 [array(['device'], dtype='<U6')]
 [array(['instrumentality, instrumentation'], dtype='<U32')]
 [array(['artifact, artefact'], dtype='<U18')]
 [array(['whole, unit'], dtype='<U11')]
 [array(['object, physical object'], dtype='<U23')]
 [array(['physical entity'], dtype='<U15')]
 [array(['entity'], dtype='<U6')]]","['characterized by lightness and insubstantiality; as impalpable or intangible as air; ""figures light and aeriform come unlooked for and melt away""- Thomas Carlyle; ""aerial fancies""; ""an airy apparition""; ""physical rather than ethereal forms""']","['antenna, aerial, transmitting aerial']",0
9,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],582.0,"['air conditioner, air conditioning']",0.0,1,"['air conditioner, air conditioning']","['air conditioner, air conditioning. cooling system, cooling. mechanism. device. instrumentality, instrumentation. artifact, artefact. whole, unit. object, physical object. physical entity. entity. ']","[[array(['air conditioner, air conditioning'], dtype='<U33')]
 [array(['cooling system, cooling'], dtype='<U23')]
 [array(['mechanism'], dtype='<U9')]
 [array(['device'], dtype='<U6')]
 [array(['instrumentality, instrumentation'], dtype='<U32')]
 [array(['artifact, artefact'], dtype='<U18')]
 [array(['whole, unit'], dtype='<U11')]
 [array(['object, physical object'], dtype='<U23')]
 [array(['physical entity'], dtype='<U15')]
 [array(['entity'], dtype='<U6')]]","['control the humidity and temperature of; ""The room was cool because it had been air-conditioned""']","['air conditioner, air conditioning']",0
